,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activations,param_batch_size,param_dropout_rate,param_learning_rate,param_nb_epoch,param_neurons,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
633,4.409269618988037,0.07414162560691268,0.006089019775390625,0.00038412763775468533,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,100,"[20, 10, 5, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 100, 'neurons': [20, 10, 5, 1]}",-69110.98201628133,-68964.26869853727,-65416.50301712974,-62636.41751796728,-70051.17970851471,-67235.87019168606,2789.065622835014,375,-67030.92892102008,-65417.453590187426,-68660.59079259798,-66492.4531408689,-68400.8893032218,-67200.46314957924,1206.8254886458355
634,4.386514139175415,0.050304825763155016,0.00612187385559082,0.00035193777197766796,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,100,"[30, 30, 15, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 100, 'neurons': [30, 30, 15, 1]}",-68875.72865937036,-69813.30778713468,-63408.15834100271,-64984.00968316371,-67979.01906832932,-67012.04470780016,2423.070578041196,153,-66377.25320669766,-66161.69930238408,-66775.90298609492,-68318.2132087498,-65332.90685946312,-66593.19511267793,982.8749280589851
635,4.375667476654053,0.038381339899126586,0.006138134002685547,0.00035700984323575253,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,100,"[50, 50, 25, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 100, 'neurons': [50, 50, 25, 1]}",-69352.58292903031,-69904.70213466317,-63338.34897583304,-65764.81710417084,-69687.80944435627,-67609.65211761072,2618.062146880704,897,-67290.3276485966,-66412.54654101285,-66700.45472303304,-69280.76029793113,-67314.00299525313,-67399.61844116535,1002.1087773309381
636,4.417506837844849,0.07752817297911539,0.0063321590423583984,0.0004390277030631286,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,500,"[20, 10, 5, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 500, 'neurons': [20, 10, 5, 1]}",-70045.65196627,-70043.14194443519,-66106.6654100862,-64279.502554195584,-68139.06429306965,-67722.80523361133,2254.8211579128206,1040,-67253.60754262836,-66594.53204200786,-69105.56134088244,-67944.67403346978,-65931.83576889105,-67366.04214557589,1097.7758608476129
637,4.3702000141143795,0.06929712509101732,0.005903959274291992,5.142462707312572e-05,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,500,"[30, 30, 15, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 500, 'neurons': [30, 30, 15, 1]}",-69532.8050556506,-69799.65545466254,-65645.06989324804,-64230.81102448503,-68791.54131651079,-67599.97654891139,2243.5318711172577,882,-66934.99073612112,-66484.39083413882,-68729.79339752255,-68035.68649966379,-66678.18056479453,-67372.60840644815,865.3662075798134
638,4.42046799659729,0.05386310838204098,0.005942344665527344,6.951804988233822e-05,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,500,"[50, 50, 25, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 500, 'neurons': [50, 50, 25, 1]}",-69094.48505045075,-68606.2439425748,-63680.93617135676,-64951.58340446841,-68475.36980459561,-66961.72367468927,2206.738459899273,115,-66494.33920810623,-65516.25106646264,-67011.73573697648,-68199.60977368883,-66201.73524528307,-66684.73420610346,898.5175663837874
639,4.392074871063232,0.06344618565963848,0.005934906005859375,6.696895666073236e-05,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,1000,"[20, 10, 5, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 1000, 'neurons': [20, 10, 5, 1]}",-71856.06952754999,-69272.09573145505,-65048.44550634201,-64950.43875689205,-69837.2929667761,-68192.86849780305,2745.4927286126785,1376,-69127.75400760797,-65403.57621196246,-68261.85937864606,-68280.34670286995,-66917.3179742588,-67598.17085506904,1305.7777189890605
640,4.403945255279541,0.07321241893562558,0.0059261322021484375,4.162900361677759e-05,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,1000,"[30, 30, 15, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 1000, 'neurons': [30, 30, 15, 1]}",-69879.9281774682,-69770.20044712428,-66373.09785876625,-64637.64477720279,-69124.20236560612,-67957.01472523354,2091.6297514838143,1264,-67426.76964571807,-66349.96594716795,-69424.52879327876,-68481.73822236928,-66812.93188821246,-67699.1868993493,1119.754214705595
641,4.408989095687867,0.06863717517465207,0.005948352813720703,6.796333101096576e-05,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,1000,"[50, 50, 25, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 1000, 'neurons': [50, 50, 25, 1]}",-70558.35272746692,-71094.82556027743,-63020.88911655611,-62605.8400287046,-69461.91752351305,-67348.36499130362,3742.3437264633994,501,-67610.97461298073,-67366.02384791443,-66527.65775148291,-66292.50860649151,-67414.83674446974,-67042.40031266786,528.0180486616711
642,4.401890611648559,0.07697310087455857,0.005935192108154297,9.262701411526773e-05,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,5000,"[20, 10, 5, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 5000, 'neurons': [20, 10, 5, 1]}",-70126.0979026702,-71686.13148063388,-65292.69088579269,-64121.96150494304,-69143.64311347959,-68074.10497750388,2889.8797423362566,1332,-67784.3765503122,-68335.7297060537,-68407.75894255568,-67645.95728771732,-66830.7361130671,-67800.91171994121,569.1781489021405
643,4.408146524429322,0.08100139093908743,0.005935144424438476,8.029184509976131e-05,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,5000,"[30, 30, 15, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 5000, 'neurons': [30, 30, 15, 1]}",-69053.9782988056,-70739.81478729528,-65088.250771325984,-64388.46863146422,-67936.87239190792,-67441.4769761598,2390.947217056125,643,-66685.88915878632,-66996.52278866516,-67803.51587214659,-67618.97081961174,-65606.12420961,-66942.20456976396,781.4894118468205
644,4.403599071502685,0.0673862554993475,0.005914020538330078,3.847499719194506e-05,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.01,5000,"[50, 50, 25, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.01, 'nb_epoch': 5000, 'neurons': [50, 50, 25, 1]}",-69859.94212891193,-69201.59810014062,-64266.461659890374,-64131.98740639844,-69509.48646351992,-67393.89515177226,2617.089475994881,570,-67101.91891113401,-65952.83028641123,-67657.85240470023,-67469.01479153369,-67323.73846533863,-67101.07097182356,602.2335795627139
645,4.395309686660767,0.06188379767795162,0.005988121032714844,7.292382143969791e-05,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.05,50,"[20, 10, 5, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.05, 'nb_epoch': 50, 'neurons': [20, 10, 5, 1]}",-70538.51003107324,-71013.36613096003,-63653.369915343625,-64862.5266254574,-68673.10716339273,-67748.17597324541,2979.8435340479264,1077,-68050.33090339943,-67296.92772740423,-66897.2888406912,-69082.64219865974,-66770.79829824001,-67619.59759367892,857.0107025525724
646,4.374092721939087,0.055582221534921476,0.0059738636016845705,0.00017369112739692213,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.05,50,"[30, 30, 15, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.05, 'nb_epoch': 50, 'neurons': [30, 30, 15, 1]}",-70368.88056561248,-70217.59278774331,-64323.313746323365,-63123.72301242821,-67957.78942860727,-67198.25990814294,2987.080776670325,325,-67508.83665786433,-66670.18697405448,-67366.42745111324,-66802.38725788853,-65560.09500589993,-66781.5866693641,689.3207854520329
647,4.39453649520874,0.04466207767352447,0.006076717376708984,0.0003458300601471123,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.05,50,"[50, 50, 25, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.05, 'nb_epoch': 50, 'neurons': [50, 50, 25, 1]}",-69890.45291103711,-70305.47732310893,-65530.58120150022,-64482.82417796394,-68555.04014134384,-67752.87515099082,2339.243850701813,1085,-67662.34012889226,-66950.48113084145,-68654.84076371137,-67935.01749121257,-65900.40411666976,-67420.61672626548,935.7800148991638
648,4.393069076538086,0.04680628775318851,0.006130647659301758,0.0004582928638539713,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.05,100,"[20, 10, 5, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.05, 'nb_epoch': 100, 'neurons': [20, 10, 5, 1]}",-69781.86606137728,-70597.2638104474,-64915.80564633631,-63957.215440861204,-69080.51973076144,-67666.53413795673,2697.72916532974,970,-67136.80843553256,-66885.49523612585,-67760.99093144039,-67811.71856905083,-66690.94182554427,-67257.19099953878,454.88526598216225
649,4.373899841308594,0.04699807502406858,0.006092643737792969,0.00034289772825338673,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.05,100,"[30, 30, 15, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.05, 'nb_epoch': 100, 'neurons': [30, 30, 15, 1]}",-69746.85040711211,-70980.66559970651,-63419.815300067625,-64116.72696536752,-68677.93984578495,-67388.39962360775,3052.313301140205,561,-67412.3681380598,-67486.16052043652,-66990.52474230088,-67522.33100964775,-66244.72319483993,-67131.22152105698,482.4244213421185
650,4.380669832229614,0.05275920274449663,0.006308698654174804,0.0004913612359094705,"['sigmoid', 'sigmoid', 'sigmoid', 'identity']",128,0.1,0.05,100,"[50, 50, 25, 1]","{'activations': ['sigmoid', 'sigmoid', 'sigmoid', 'identity'], 'batch_size': 128, 'dropout_rate': 0.1, 'learning_rate': 0.05, 'nb_epoch': 100, 'neurons': [50, 50, 25, 1]}",-69202.04232859645,-71137.01905851331,-64184.99602924344,-62815.9165193299,-69150.99858542206,-67298.19450422103,3211.7569689742722,440,-66695.83441885759,-67666.01300325037,-67591.08218789604,-66754.75131001382,-67446.691572884,-67230.87449858035,419.19763473810207
